Name,Link,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
Furiosa: A Mad Max Saga,https://www.imdb.com/title/tt12037194/?ref_=chtmvm_t_1,168000000,58670014,26326462,2024-05-26 00:00:00,144670014,148,Color,IMAX 6-Track; Dolby Surround 7.1; Dolby Atmos; Auro 11.1; D-Cinema 96kHz Dolby Surround 7.1; Sonics-DDP; DTS:X; Dolby Digital; 12-Track Digital Sound,2.39 : 1
Godzilla Minus One,https://www.imdb.com/title/tt23289160/?ref_=chtmvm_t_3,15000000,56418793,11419975,2023-12-03 00:00:00,115857413,124,Color,Dolby Atmos; IMAX 6-Track,2.39 : 1
Bad Boys: Ride or Die,https://www.imdb.com/title/tt4919268/?ref_=chtmvm_t_4,100000000,56527324,56527324,2024-06-09 00:00:00,105127324,115,Color,Dolby Digital; IMAX 6-Track; Dolby Atmos,2.39 : 1
The Fall Guy,https://www.imdb.com/title/tt1684562/?ref_=chtmvm_t_5,130000000,85014265,27747035,2024-05-05 00:00:00,165488265,126,Color,Dolby Atmos; IMAX 6-Track,2.39 : 1
Civil War,https://www.imdb.com/title/tt17279496/?ref_=chtmvm_t_6,50000000,68599741,25537368,2024-04-14 00:00:00,114384368,109,Color,Dolby Digital; IMAX 6-Track; Dolby Atmos,1.85 : 1
Kingdom of the Planet of the Apes,https://www.imdb.com/title/tt11389872/?ref_=chtmvm_t_10,160000000,149791656,58400788,2024-05-12 00:00:00,360145646,145,Color,Dolby Digital; 12-Track Digital Sound; Dolby Atmos; IMAX 6-Track; Dolby Surround 7.1,2.39 : 1
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=chtmvm_t_15,150000000,154280290,45428128,2015-05-17 00:00:00,380418444,120,Color,Dolby Digital; Datasat; SDDS; Dolby Atmos,2.39 : 1
Challengers,https://www.imdb.com/title/tt16426418/?ref_=chtmvm_t_17,55000000,49457006,15011061,2024-04-28 00:00:00,141757006,131,Color,Dolby Digital; Dolby Atmos,1.85 : 1
IF,https://www.imdb.com/title/tt11152168/?ref_=chtmvm_t_18,110000000,93365655,33715801,2024-05-19 00:00:00,160565655,104,Color,Dolby Digital; D-Cinema 96kHz 7.1; Auro 11.1; Dolby Atmos; 12-Track Digital Sound; Dolby Surround 7.1,1 : 1.85 DCP flat
The Garfield Movie,https://www.imdb.com/title/tt5779228/?ref_=chtmvm_t_20,60000000,68616391,24006629,2024-05-26 00:00:00,192716391,101,Color,Dolby Digital; Dolby Atmos; D-Cinema 96kHz 7.1; Dolby Surround 7.1; Auro 11.1; 12-Track Digital Sound; DTS:X,1.85 : 1
The Ministry of Ungentlemanly Warfare,https://www.imdb.com/title/tt5177120/?ref_=chtmvm_t_21,60000000,20535053,8913698,2024-04-21 00:00:00,25885290,120,Color,Dolby Digital,2.39 : 1
Godzilla x Kong: The New Empire,https://www.imdb.com/title/tt14539740/?ref_=chtmvm_t_25,135000000,196350016,80006561,2024-03-31 00:00:00,567650016,115,Color,IMAX 6-Track; Dolby Digital; Dolby Surround 7.1; Dolby Atmos,2.39 : 1
The Iron Claw,https://www.imdb.com/title/tt21064584/?ref_=chtmvm_t_35,15000000,35070296,4868370,2023-12-24 00:00:00,45200720,132,Color,Dolby Digital,1.85 : 1
Dune,https://www.imdb.com/title/tt1160419/?ref_=chtmvm_t_36,165000000,108897830,41011174,2021-10-24 00:00:00,407573628,155,Color,Auro 11.1; Dolby Surround 7.1; Dolby Atmos; Dolby Digital; IMAX 6-Track,2.39 : 1
Madame Web,https://www.imdb.com/title/tt11057302/?ref_=chtmvm_t_38,80000000,43817106,15335860,2024-02-18 00:00:00,100298817,116,Color,IMAX 6-Track; Dolby Atmos,2.39 : 1
X,https://www.imdb.com/title/tt13560574/?ref_=chtmvm_t_40,1000000,11765309,4275126,2022-03-20 00:00:00,14740889,105,Color,Dolby Atmos; Dolby Digital,1.90 : 1
The Hunger Games: The Ballad of Songbirds & Snakes,https://www.imdb.com/title/tt10545296/?ref_=chtmvm_t_41,100000000,166350594,44607143,2023-11-19 00:00:00,337371917,157,Color,DTS; Dolby Atmos; IMAX 6-Track; Dolby Surround 7.1; Dolby Digital; 12-Track Digital Sound; Auro 11.1; DTS:X; D-Cinema 96kHz 7.1,2.39 : 1
The Boys in the Boat,https://www.imdb.com/title/tt1856080/?ref_=chtmvm_t_42,40000000,52641306,8400548,2023-12-31 00:00:00,55481773,123,Color,Dolby Digital,2.39 : 1
Saving Private Ryan,https://www.imdb.com/title/tt0120815/?ref_=chtmvm_t_46,70000000,217049603,30576104,1998-07-26 00:00:00,482351251,169,Color,DTS; Dolby Digital; SDDS; Dolby Atmos; Dolby Digital EX; Dolby Stereo,1.85 : 1
Poor Things,https://www.imdb.com/title/tt14230458/?ref_=chtmvm_t_47,35000000,34553225,661230,2023-12-10 00:00:00,117625455,141,Color,Dolby Digital,1.66 : 1
Inside Out,https://www.imdb.com/title/tt2096673/?ref_=chtmvm_t_51,175000000,356921711,90440272,2015-06-21 00:00:00,858852998,95,Color,Dolby Digital; Datasat; Dolby Atmos; SDDS; Dolby Surround 7.1; Auro 11.1; 12-Track Digital Sound; D-Cinema 48kHz Dolby Surround 7.1; D-Cinema 96kHz 7.1; D-Cinema 96kHz 5.1,1.78 : 1
Sister Act Back in the Habit,https://www.imdb.com/title/tt0108147/?ref_=chtmvm_t_53,38000000,57319029,7569219,1993-12-12 00:00:00,57319029,107,Color,Dolby Stereo,1.85 : 1
Bad Boys for Life,https://www.imdb.com/title/tt1502397/?ref_=chtmvm_t_58,90000000,206305244,62504105,2020-01-19 00:00:00,426505244,124,Color,Dolby Atmos,2.39 : 1
Bullet Train,https://www.imdb.com/title/tt12593682/?ref_=chtmvm_t_59,85900000,103368602,30030156,2022-08-07 00:00:00,239268602,127,Color,Dolby Atmos; Auro 11.1; IMAX 6-Track,2.39 : 1
Bad Boys,https://www.imdb.com/title/tt0112442/?ref_=chtmvm_t_60,19000000,65807024,15523358,1995-04-09 00:00:00,141407024,119,Color,Dolby SR; SDDS; Dolby Atmos; Dolby Digital,1.85 : 1
Ghostbusters: Frozen Empire,https://www.imdb.com/title/tt21235248/?ref_=chtmvm_t_69,100000000,113125852,45004673,2024-03-24 00:00:00,201305371,115,Color,IMAX 6-Track; Dolby Atmos,2.39 : 1
Argylle,https://www.imdb.com/title/tt15009428/?ref_=chtmvm_t_71,200000000,45207275,17473540,2024-02-04 00:00:00,96185778,139,Color,Dolby Digital; IMAX 6-Track; Dolby Atmos,2.39 : 1
Once Upon a Time... in Hollywood,https://www.imdb.com/title/tt7131622/?ref_=chtmvm_t_73,90000000,142502728,41082018,2019-07-28 00:00:00,377617681,161,Color,Dolby Digital; Dolby Atmos; Dolby Surround 7.1,2.39 : 1
The Gentlemen,https://www.imdb.com/title/tt8367814/?ref_=chtmvm_t_74,22000000,36471795,10651884,2020-01-26 00:00:00,115175729,113,Color,Dolby Digital; Dolby Surround 7.1; Dolby Atmos,2.39 : 1
The Godfather,https://www.imdb.com/title/tt0068646/?ref_=chtmvm_t_75,6000000,136381073,302393,1972-03-19 00:00:00,250342030,175,Color,Mono; Dolby Digital,1.85 : 1
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=chtmvm_t_76,170000000,718732821,126707459,2022-05-29 00:00:00,1495696292,130,Color,Dolby Atmos; Auro 11.1; IMAX 6-Track; 12-Track Digital Sound; Sonics-DDP,2.39 : 1
A Million Ways to Die in the West,https://www.imdb.com/title/tt2557490/?ref_=chtmvm_t_78,40000000,43139300,16797385,2014-06-01 00:00:00,87189756,116,Color,SDDS; Datasat; Dolby Digital,2.39 : 1
Interstellar,https://www.imdb.com/title/tt0816692/?ref_=chtmvm_t_80,165000000,188020017,47510360,2014-11-09 00:00:00,747516808,169,Color,Datasat; Dolby Digital; IMAX 6-Track; Dolby Surround 7.1,2.39 : 1
1917,https://www.imdb.com/title/tt8579674/?ref_=chtmvm_t_82,95000000,159227644,576216,2019-12-29 00:00:00,384580017,119,Color,Dolby Atmos; Dolby Digital; Dolby Surround 7.1,2.39 : 1
Mean Girls,https://www.imdb.com/title/tt11762114/?ref_=chtmvm_t_84,36000000,72404248,28635307,2024-01-14 00:00:00,104404248,112,Color,Dolby Digital,1.85 : 1
Barbie,https://www.imdb.com/title/tt1517268/?ref_=chtmvm_t_87,100000000,636238421,162022044,2023-07-23 00:00:00,1445638421,114,Color,Dolby Digital; IMAX 6-Track; 12-Track Digital Sound; D-Cinema 96kHz 7.1; Auro 11.1; Dolby Atmos; DTS:X,2.00 : 1
A Simple Favor,https://www.imdb.com/title/tt7040874/?ref_=chtmvm_t_88,20000000,53548586,16011689,2018-09-16 00:00:00,97644617,117,Color,Dolby Surround 7.1,2.00 : 1
