Name,Link
Hit Man,https://www.imdb.com/title/tt20215968/?ref_=chtmvm_t_1
Bad Boys: Ride or Die,https://www.imdb.com/title/tt4919268/?ref_=chtmvm_t_2
Inside Out 2,https://www.imdb.com/title/tt22022452/?ref_=chtmvm_t_3
Furiosa: A Mad Max Saga,https://www.imdb.com/title/tt12037194/?ref_=chtmvm_t_4
Under Paris,https://www.imdb.com/title/tt13964390/?ref_=chtmvm_t_5
The Watchers,https://www.imdb.com/title/tt26736843/?ref_=chtmvm_t_6
The Fall Guy,https://www.imdb.com/title/tt1684562/?ref_=chtmvm_t_7
Godzilla Minus One,https://www.imdb.com/title/tt23289160/?ref_=chtmvm_t_8
Civil War,https://www.imdb.com/title/tt17279496/?ref_=chtmvm_t_9
Inside Out,https://www.imdb.com/title/tt2096673/?ref_=chtmvm_t_10
Dune: Part Two,https://www.imdb.com/title/tt15239678/?ref_=chtmvm_t_11
Kingdom of the Planet of the Apes,https://www.imdb.com/title/tt11389872/?ref_=chtmvm_t_12
The Strangers: Chapter 1,https://www.imdb.com/title/tt22050754/?ref_=chtmvm_t_13
Munjya,https://www.imdb.com/title/tt27995594/?ref_=chtmvm_t_14
Challengers,https://www.imdb.com/title/tt16426418/?ref_=chtmvm_t_15
Deadpool & Wolverine,https://www.imdb.com/title/tt6263850/?ref_=chtmvm_t_16
The Bikeriders,https://www.imdb.com/title/tt21454134/?ref_=chtmvm_t_17
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=chtmvm_t_18
Anyone But You,https://www.imdb.com/title/tt26047818/?ref_=chtmvm_t_19
The First Omen,https://www.imdb.com/title/tt5672290/?ref_=chtmvm_t_20
IF,https://www.imdb.com/title/tt11152168/?ref_=chtmvm_t_21
Am I OK?,https://www.imdb.com/title/tt11225626/?ref_=chtmvm_t_22
Kinds of Kindness,https://www.imdb.com/title/tt22408160/?ref_=chtmvm_t_23
The Ministry of Ungentlemanly Warfare,https://www.imdb.com/title/tt5177120/?ref_=chtmvm_t_24
Atlas,https://www.imdb.com/title/tt14856980/?ref_=chtmvm_t_25
Godzilla x Kong: The New Empire,https://www.imdb.com/title/tt14539740/?ref_=chtmvm_t_26
Bad Boys for Life,https://www.imdb.com/title/tt1502397/?ref_=chtmvm_t_27
MaXXXine,https://www.imdb.com/title/tt22048412/?ref_=chtmvm_t_28
Alien: Romulus,https://www.imdb.com/title/tt18412256/?ref_=chtmvm_t_29
Bad Boys,https://www.imdb.com/title/tt0112442/?ref_=chtmvm_t_30
Horizon: An American Saga - Chapter 1,https://www.imdb.com/title/tt17505010/?ref_=chtmvm_t_31
The Garfield Movie,https://www.imdb.com/title/tt5779228/?ref_=chtmvm_t_32
I Saw the TV Glow,https://www.imdb.com/title/tt15574270/?ref_=chtmvm_t_33
Brats,https://www.imdb.com/title/tt15823728/?ref_=chtmvm_t_34
Paddington in Peru,https://www.imdb.com/title/tt5822536/?ref_=chtmvm_t_35
The Idea of You,https://www.imdb.com/title/tt9466114/?ref_=chtmvm_t_36
Venom: The Last Dance,https://www.imdb.com/title/tt16366836/?ref_=chtmvm_t_37
Oppenheimer,https://www.imdb.com/title/tt15398776/?ref_=chtmvm_t_38
Abigail,https://www.imdb.com/title/tt27489557/?ref_=chtmvm_t_39
Wonder,https://www.imdb.com/title/tt2543472/?ref_=chtmvm_t_40
Presumed Innocent,https://www.imdb.com/title/tt0100404/?ref_=chtmvm_t_41
Dune,https://www.imdb.com/title/tt1160419/?ref_=chtmvm_t_42
Poor Things,https://www.imdb.com/title/tt14230458/?ref_=chtmvm_t_43
Space Cadet,https://www.imdb.com/title/tt21469794/?ref_=chtmvm_t_44
In a Violent Nature,https://www.imdb.com/title/tt30321146/?ref_=chtmvm_t_45
Late Night with the Devil,https://www.imdb.com/title/tt14966898/?ref_=chtmvm_t_46
The Iron Claw,https://www.imdb.com/title/tt21064584/?ref_=chtmvm_t_47
The Hunger Games: The Ballad of Songbirds & Snakes,https://www.imdb.com/title/tt10545296/?ref_=chtmvm_t_48
X,https://www.imdb.com/title/tt13560574/?ref_=chtmvm_t_49
Love Lies Bleeding,https://www.imdb.com/title/tt19637052/?ref_=chtmvm_t_50
Practical Magic,https://www.imdb.com/title/tt0120791/?ref_=chtmvm_t_51
Nocturnal Animals,https://www.imdb.com/title/tt4550098/?ref_=chtmvm_t_52
Chandu Champion,https://www.imdb.com/title/tt27470893/?ref_=chtmvm_t_53
Tarot,https://www.imdb.com/title/tt14088510/?ref_=chtmvm_t_54
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=chtmvm_t_55
Road House,https://www.imdb.com/title/tt3359350/?ref_=chtmvm_t_56
Twisters,https://www.imdb.com/title/tt12584954/?ref_=chtmvm_t_57
A Quiet Place: Day One,https://www.imdb.com/title/tt13433802/?ref_=chtmvm_t_58
The Boys in the Boat,https://www.imdb.com/title/tt1856080/?ref_=chtmvm_t_59
Madame Web,https://www.imdb.com/title/tt11057302/?ref_=chtmvm_t_60
The Lord of the Rings: The War of the Rohirrim,https://www.imdb.com/title/tt14824600/?ref_=chtmvm_t_61
Bad Boys II,https://www.imdb.com/title/tt0172156/?ref_=chtmvm_t_62
Bade Miyan Chote Miyan,https://www.imdb.com/title/tt18072316/?ref_=chtmvm_t_63
Wild Eyed and Wicked,https://www.imdb.com/title/tt19224314/?ref_=chtmvm_t_64
Boy Kills World,https://www.imdb.com/title/tt13923084/?ref_=chtmvm_t_65
Bullet Train,https://www.imdb.com/title/tt12593682/?ref_=chtmvm_t_66
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/?ref_=chtmvm_t_67
Dogma,https://www.imdb.com/title/tt0120655/?ref_=chtmvm_t_68
Despicable Me 4,https://www.imdb.com/title/tt7510222/?ref_=chtmvm_t_69
Be Kind Rewind,https://www.imdb.com/title/tt0799934/?ref_=chtmvm_t_70
