Name,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
Hit Man,0,0,0,1900-01-01 00:00:00,0,115,Color,Dolby Digital,2.39 : 1
Bad Boys: Ride or Die,100000000,120693327,56527324,2024-06-09 00:00:00,223179517,115,Color,Dolby Digital; IMAX 6-Track; Dolby Atmos,2.39 : 1
Inside Out 2,200000000,205448790,154201673,2024-06-16 00:00:00,379748790,96,Color,Dolby Digital; Dolby Atmos; Sonics-DDP; Auro 11.1; 12-Track Digital Sound; D-Cinema 96kHz Dolby Surround 7.1; D-Cinema 96kHz 7.1,2.39 : 1
Furiosa: A Mad Max Saga,168000000,64020267,26326462,2024-05-26 00:00:00,161020267,148,Color,IMAX 6-Track; Dolby Surround 7.1; Dolby Atmos; Auro 11.1; D-Cinema 96kHz Dolby Surround 7.1; Sonics-DDP; DTS:X; Dolby Digital; 12-Track Digital Sound,2.39 : 1
Under Paris,0,0,0,1900-01-01 00:00:00,0,104,Color,Dolby Digital,1.78 : 1
The Watchers,0,0,0,1900-01-01 00:00:00,0,102,Color,Dolby Digital,1.85 : 1
The Fall Guy,125000000,88247580,27747035,2024-05-05 00:00:00,169774694,126,Color,Dolby Atmos; IMAX 6-Track,2.39 : 1
Godzilla Minus One,15000000,56418793,11419975,2023-12-03 00:00:00,115857413,124,Color,Dolby Atmos; IMAX 6-Track,2.39 : 1
Civil War,50000000,68549137,25537368,2024-04-14 00:00:00,114373168,109,Color,Dolby Digital; IMAX 6-Track; Dolby Atmos,1.85 : 1
Inside Out,175000000,356921711,90440272,2015-06-21 00:00:00,858852998,95,Color,Dolby Digital; Datasat; Dolby Atmos; SDDS; Dolby Surround 7.1; Auro 11.1; 12-Track Digital Sound; D-Cinema 48kHz Dolby Surround 7.1; D-Cinema 96kHz 7.1; D-Cinema 96kHz 5.1,1.78 : 1
Dune: Part Two,190000000,282144358,82505391,2024-03-03 00:00:00,711844358,0,,,
Kingdom of the Planet of the Apes,160000000,159460045,58400788,2024-05-12 00:00:00,376553863,145,Color,Dolby Digital; 12-Track Digital Sound; Dolby Atmos; IMAX 6-Track; Dolby Surround 7.1,2.39 : 1
The Strangers: Chapter 1,0,0,0,1900-01-01 00:00:00,0,0,,,
Munjya,0,0,0,1900-01-01 00:00:00,0,0,,,
Challengers,55000000,49950208,15011061,2024-04-28 00:00:00,94050208,131,Color,Dolby Digital; Dolby Atmos,1.85 : 1
Deadpool & Wolverine,0,0,0,1900-01-01 00:00:00,0,0,,,
The Bikeriders,0,0,0,1900-01-01 00:00:00,0,0,,,
Mad Max: Fury Road,150000000,154280290,45428128,2015-05-17 00:00:00,380418444,120,Color,Dolby Digital; Datasat; SDDS; Dolby Atmos,2.39 : 1
Anyone But You,25000000,88319668,6000344,2023-12-24 00:00:00,220088760,0,,,
The First Omen,30000000,20092802,8353710,2024-04-07 00:00:00,53845880,0,,,
IF,110000000,101559175,33715801,2024-05-19 00:00:00,174159175,104,Color,Dolby Digital; D-Cinema 96kHz 7.1; Auro 11.1; Dolby Atmos; 12-Track Digital Sound; Dolby Surround 7.1,1 : 1.85 DCP flat
Am I OK?,0,0,0,1900-01-01 00:00:00,0,0,,,
Kinds of Kindness,0,0,0,1900-01-01 00:00:00,0,164,Black and White,Dolby Digital,2.35 : 1
The Ministry of Ungentlemanly Warfare,60000000,20535053,8913698,2024-04-21 00:00:00,26606603,120,Color,Dolby Digital,2.39 : 1
Atlas,0,0,0,1900-01-01 00:00:00,0,0,,,
Godzilla x Kong: The New Empire,135000000,196350016,80006561,2024-03-31 00:00:00,567650016,115,Color,IMAX 6-Track; Dolby Digital; Dolby Surround 7.1; Dolby Atmos,2.39 : 1
Bad Boys for Life,90000000,206305244,62504105,2020-01-19 00:00:00,426505244,124,Color,Dolby Atmos,2.39 : 1
MaXXXine,0,0,0,1900-01-01 00:00:00,0,0,,,
Alien: Romulus,0,0,0,1900-01-01 00:00:00,0,0,,,
Bad Boys,19000000,65807024,15523358,1995-04-09 00:00:00,141407024,119,Color,Dolby SR; SDDS; Dolby Atmos; Dolby Digital,1.85 : 1
Horizon: An American Saga - Chapter 1,0,0,0,1900-01-01 00:00:00,0,181,Color,Dolby Digital; Dolby Atmos,1.85 : 1
The Garfield Movie,60000000,79824897,24006629,2024-05-26 00:00:00,197425914,101,Color,Dolby Digital; Dolby Atmos; D-Cinema 96kHz 7.1; Dolby Surround 7.1; Auro 11.1; 12-Track Digital Sound; DTS:X,1.85 : 1
I Saw the TV Glow,0,0,0,1900-01-01 00:00:00,0,100,Color,Dolby Atmos; Dolby Digital,1.85 : 1
Brats,0,0,0,1900-01-01 00:00:00,0,0,,,
Paddington in Peru,0,0,0,1900-01-01 00:00:00,0,0,,,
The Idea of You,0,0,0,1900-01-01 00:00:00,0,0,,,
Venom: The Last Dance,0,0,0,1900-01-01 00:00:00,0,0,,,
Oppenheimer,100000000,329862540,82455420,2023-07-23 00:00:00,975134850,0,,,
Abigail,28000000,25867515,10297110,2024-04-21 00:00:00,42241257,0,,,
Wonder,20000000,132422809,27547866,2017-11-19 00:00:00,315025930,113,Color,Dolby Atmos; Dolby Digital; Dolby Surround 7.1,2.39 : 1
Presumed Innocent,20000000,86303188,11718981,1990-07-29 00:00:00,221303188,127,Color,Dolby Stereo,1.85 : 1
Dune,165000000,108897830,41011174,2021-10-24 00:00:00,407573628,155,Color,Auro 11.1; Dolby Surround 7.1; Dolby Atmos; Dolby Digital; IMAX 6-Track,2.39 : 1
Poor Things,35000000,34553225,661230,2023-12-10 00:00:00,117625455,141,Color,Dolby Digital,1.66 : 1
Space Cadet,0,0,0,1900-01-01 00:00:00,0,0,,,
In a Violent Nature,0,0,0,1900-01-01 00:00:00,0,0,,,
Late Night with the Devil,0,0,0,1900-01-01 00:00:00,0,0,,,
The Iron Claw,15000000,35070296,4868370,2023-12-24 00:00:00,45200720,132,Color,Dolby Digital,1.85 : 1
The Hunger Games: The Ballad of Songbirds & Snakes,100000000,166350594,44607143,2023-11-19 00:00:00,337371917,157,Color,DTS; Dolby Atmos; IMAX 6-Track; Dolby Surround 7.1; Dolby Digital; 12-Track Digital Sound; Auro 11.1; DTS:X; D-Cinema 96kHz 7.1,2.39 : 1
X,1000000,11765309,4275126,2022-03-20 00:00:00,14740889,105,Color,Dolby Atmos; Dolby Digital,1.90 : 1
Love Lies Bleeding,0,0,0,1900-01-01 00:00:00,0,0,,,
Practical Magic,75000000,46732881,13104694,1998-10-18 00:00:00,46733235,0,,,
Nocturnal Animals,22500000,10663357,492648,2016-11-20 00:00:00,30311857,116,Color,Dolby Digital; Dolby Atmos,2.35 : 1
Chandu Champion,0,0,0,1900-01-01 00:00:00,0,0,,,
Tarot,8250000,18629834,6503012,2024-05-05 00:00:00,46928594,0,,,
Top Gun: Maverick,170000000,718732821,126707459,2022-05-29 00:00:00,1495696292,130,Color,Dolby Atmos; Auro 11.1; IMAX 6-Track; 12-Track Digital Sound; Sonics-DDP,2.39 : 1
Road House,0,0,0,1900-01-01 00:00:00,0,121,Color,Dolby Digital,2.39 : 1
Twisters,0,0,0,1900-01-01 00:00:00,0,122,Color,Dolby Atmos,2.39 : 1
A Quiet Place: Day One,0,0,0,1900-01-01 00:00:00,0,0,,,
The Boys in the Boat,40000000,52641306,8400548,2023-12-31 00:00:00,55481773,123,Color,Dolby Digital,2.39 : 1
Madame Web,80000000,43817106,15335860,2024-02-18 00:00:00,100298817,116,Color,IMAX 6-Track; Dolby Atmos,2.39 : 1
The Lord of the Rings: The War of the Rohirrim,0,0,0,1900-01-01 00:00:00,0,0,,,
