Name,Link,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
Bad Boys: Ride or Die,https://www.imdb.com/title/tt4919268/?ref_=chtmvm_t_2,100000000,120693327,56527324,2024-06-09 00:00:00,223179517,115,Color,Dolby Digital; IMAX 6-Track; Dolby Atmos,2.39 : 1
Inside Out 2,https://www.imdb.com/title/tt22022452/?ref_=chtmvm_t_3,200000000,205448790,154201673,2024-06-16 00:00:00,379748790,96,Color,Dolby Digital; Dolby Atmos; Sonics-DDP; Auro 11.1; 12-Track Digital Sound; D-Cinema 96kHz Dolby Surround 7.1; D-Cinema 96kHz 7.1,2.39 : 1
Furiosa: A Mad Max Saga,https://www.imdb.com/title/tt12037194/?ref_=chtmvm_t_4,168000000,64020267,26326462,2024-05-26 00:00:00,161020267,148,Color,IMAX 6-Track; Dolby Surround 7.1; Dolby Atmos; Auro 11.1; D-Cinema 96kHz Dolby Surround 7.1; Sonics-DDP; DTS:X; Dolby Digital; 12-Track Digital Sound,2.39 : 1
The Fall Guy,https://www.imdb.com/title/tt1684562/?ref_=chtmvm_t_7,125000000,88247580,27747035,2024-05-05 00:00:00,169774694,126,Color,Dolby Atmos; IMAX 6-Track,2.39 : 1
Godzilla Minus One,https://www.imdb.com/title/tt23289160/?ref_=chtmvm_t_8,15000000,56418793,11419975,2023-12-03 00:00:00,115857413,124,Color,Dolby Atmos; IMAX 6-Track,2.39 : 1
Civil War,https://www.imdb.com/title/tt17279496/?ref_=chtmvm_t_9,50000000,68549137,25537368,2024-04-14 00:00:00,114373168,109,Color,Dolby Digital; IMAX 6-Track; Dolby Atmos,1.85 : 1
Inside Out,https://www.imdb.com/title/tt2096673/?ref_=chtmvm_t_10,175000000,356921711,90440272,2015-06-21 00:00:00,858852998,95,Color,Dolby Digital; Datasat; Dolby Atmos; SDDS; Dolby Surround 7.1; Auro 11.1; 12-Track Digital Sound; D-Cinema 48kHz Dolby Surround 7.1; D-Cinema 96kHz 7.1; D-Cinema 96kHz 5.1,1.78 : 1
Kingdom of the Planet of the Apes,https://www.imdb.com/title/tt11389872/?ref_=chtmvm_t_12,160000000,159460045,58400788,2024-05-12 00:00:00,376553863,145,Color,Dolby Digital; 12-Track Digital Sound; Dolby Atmos; IMAX 6-Track; Dolby Surround 7.1,2.39 : 1
Challengers,https://www.imdb.com/title/tt16426418/?ref_=chtmvm_t_15,55000000,49950208,15011061,2024-04-28 00:00:00,94050208,131,Color,Dolby Digital; Dolby Atmos,1.85 : 1
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=chtmvm_t_18,150000000,154280290,45428128,2015-05-17 00:00:00,380418444,120,Color,Dolby Digital; Datasat; SDDS; Dolby Atmos,2.39 : 1
IF,https://www.imdb.com/title/tt11152168/?ref_=chtmvm_t_21,110000000,101559175,33715801,2024-05-19 00:00:00,174159175,104,Color,Dolby Digital; D-Cinema 96kHz 7.1; Auro 11.1; Dolby Atmos; 12-Track Digital Sound; Dolby Surround 7.1,1 : 1.85 DCP flat
The Ministry of Ungentlemanly Warfare,https://www.imdb.com/title/tt5177120/?ref_=chtmvm_t_24,60000000,20535053,8913698,2024-04-21 00:00:00,26606603,120,Color,Dolby Digital,2.39 : 1
Godzilla x Kong: The New Empire,https://www.imdb.com/title/tt14539740/?ref_=chtmvm_t_26,135000000,196350016,80006561,2024-03-31 00:00:00,567650016,115,Color,IMAX 6-Track; Dolby Digital; Dolby Surround 7.1; Dolby Atmos,2.39 : 1
Bad Boys for Life,https://www.imdb.com/title/tt1502397/?ref_=chtmvm_t_27,90000000,206305244,62504105,2020-01-19 00:00:00,426505244,124,Color,Dolby Atmos,2.39 : 1
Bad Boys,https://www.imdb.com/title/tt0112442/?ref_=chtmvm_t_30,19000000,65807024,15523358,1995-04-09 00:00:00,141407024,119,Color,Dolby SR; SDDS; Dolby Atmos; Dolby Digital,1.85 : 1
The Garfield Movie,https://www.imdb.com/title/tt5779228/?ref_=chtmvm_t_32,60000000,79824897,24006629,2024-05-26 00:00:00,197425914,101,Color,Dolby Digital; Dolby Atmos; D-Cinema 96kHz 7.1; Dolby Surround 7.1; Auro 11.1; 12-Track Digital Sound; DTS:X,1.85 : 1
Wonder,https://www.imdb.com/title/tt2543472/?ref_=chtmvm_t_40,20000000,132422809,27547866,2017-11-19 00:00:00,315025930,113,Color,Dolby Atmos; Dolby Digital; Dolby Surround 7.1,2.39 : 1
Presumed Innocent,https://www.imdb.com/title/tt0100404/?ref_=chtmvm_t_41,20000000,86303188,11718981,1990-07-29 00:00:00,221303188,127,Color,Dolby Stereo,1.85 : 1
Dune,https://www.imdb.com/title/tt1160419/?ref_=chtmvm_t_42,165000000,108897830,41011174,2021-10-24 00:00:00,407573628,155,Color,Auro 11.1; Dolby Surround 7.1; Dolby Atmos; Dolby Digital; IMAX 6-Track,2.39 : 1
Poor Things,https://www.imdb.com/title/tt14230458/?ref_=chtmvm_t_43,35000000,34553225,661230,2023-12-10 00:00:00,117625455,141,Color,Dolby Digital,1.66 : 1
The Iron Claw,https://www.imdb.com/title/tt21064584/?ref_=chtmvm_t_47,15000000,35070296,4868370,2023-12-24 00:00:00,45200720,132,Color,Dolby Digital,1.85 : 1
The Hunger Games: The Ballad of Songbirds & Snakes,https://www.imdb.com/title/tt10545296/?ref_=chtmvm_t_48,100000000,166350594,44607143,2023-11-19 00:00:00,337371917,157,Color,DTS; Dolby Atmos; IMAX 6-Track; Dolby Surround 7.1; Dolby Digital; 12-Track Digital Sound; Auro 11.1; DTS:X; D-Cinema 96kHz 7.1,2.39 : 1
X,https://www.imdb.com/title/tt13560574/?ref_=chtmvm_t_49,1000000,11765309,4275126,2022-03-20 00:00:00,14740889,105,Color,Dolby Atmos; Dolby Digital,1.90 : 1
Nocturnal Animals,https://www.imdb.com/title/tt4550098/?ref_=chtmvm_t_52,22500000,10663357,492648,2016-11-20 00:00:00,30311857,116,Color,Dolby Digital; Dolby Atmos,2.35 : 1
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/?ref_=chtmvm_t_55,170000000,718732821,126707459,2022-05-29 00:00:00,1495696292,130,Color,Dolby Atmos; Auro 11.1; IMAX 6-Track; 12-Track Digital Sound; Sonics-DDP,2.39 : 1
The Boys in the Boat,https://www.imdb.com/title/tt1856080/?ref_=chtmvm_t_59,40000000,52641306,8400548,2023-12-31 00:00:00,55481773,123,Color,Dolby Digital,2.39 : 1
Madame Web,https://www.imdb.com/title/tt11057302/?ref_=chtmvm_t_60,80000000,43817106,15335860,2024-02-18 00:00:00,100298817,116,Color,IMAX 6-Track; Dolby Atmos,2.39 : 1
Bad Boys II,https://www.imdb.com/title/tt0172156/?ref_=chtmvm_t_62,130000000,138608444,46522560,2003-07-20 00:00:00,273340010,147,Color,DTS; Dolby Digital; Dolby Atmos,2.39 : 1
Bade Miyan Chote Miyan,https://www.imdb.com/title/tt18072316/?ref_=chtmvm_t_63,350000000,689505,493782,2024-04-14 00:00:00,2635333,163,Color,Dolby Atmos; Dolby Digital; IMAX 6-Track,2.39 : 1
Bullet Train,https://www.imdb.com/title/tt12593682/?ref_=chtmvm_t_66,85900000,103368602,30030156,2022-08-07 00:00:00,239268602,127,Color,Dolby Atmos; Auro 11.1; IMAX 6-Track,2.39 : 1
Dogma,https://www.imdb.com/title/tt0120655/?ref_=chtmvm_t_68,10000000,30652890,8669945,1999-11-14 00:00:00,31429330,130,Color,DTS; Dolby Digital; SDDS,2.39 : 1
Ghostbusters: Frozen Empire,https://www.imdb.com/title/tt21235248/?ref_=chtmvm_t_71,100000000,113213592,45004673,2024-03-24 00:00:00,201575128,115,Color,IMAX 6-Track; Dolby Atmos,2.39 : 1
